eom,ic_spearman,long_ret,short_ret,qspread,net_qspread,turnover,n_long,n_short,n_universe
2015-02-28,0.014243355672843233,0.0026972221201388884,-0.010267001771527777,0.012964223891666665,0.011731585002777776,0.6163194444444444,288,288,2880
2015-03-31,0.07404355584496265,0.024340418340069683,-0.013608263452961669,0.037948681793031354,0.03680234032961672,0.573170731707317,287,287,2877
2015-04-30,0.0931519039838047,0.011039138319444444,-0.003979556586111111,0.015018694905555553,0.013619389349999999,0.6996527777777777,288,288,2880
2015-05-31,-0.045697509511673895,-0.005960298588888889,-0.004570848614583334,-0.0013894499743055556,-0.0025352833076388893,0.5729166666666667,288,288,2882
2015-06-30,0.09940817985568001,-0.02165243906076389,-0.03936043498194444,0.017707995921180553,0.01658299592118055,0.5625,288,288,2884
2015-07-31,0.02232179229819581,-0.04507120044491228,-0.056371551218596494,0.011300350773684215,0.01008982445789474,0.6052631578947368,285,285,2850
2015-08-31,0.1215927070771741,-0.027581898515901062,-0.09336984117773851,0.06578794266183745,0.06460419707879858,0.5918727915194346,283,283,2839
2015-09-30,0.10436464082615242,0.0720800994604982,0.04712520640106762,0.024954893059430584,0.023812544304982187,0.5711743772241993,281,281,2810
2015-10-31,-0.01003035878403392,0.005268429486879433,0.008617670257092197,-0.003349240770212764,-0.004668389706382977,0.6595744680851063,282,282,2822
2015-11-30,0.096955002287645,-0.03508006925017794,-0.058002188785409255,0.022922119535231315,0.021772653343060496,0.5747330960854092,281,281,2817
2015-12-31,0.07558446498137977,-0.07017564717769784,-0.12933258166510792,0.05915693448741008,0.05803103520683454,0.5629496402877698,278,278,2783
2016-01-31,0.08143536656384313,0.028663868055677656,-0.006976625169963371,0.03564049322564103,0.03438774597289378,0.6263736263736264,273,273,2732
2016-02-29,0.0006233655134675292,0.08669450016875,0.09319009483161765,-0.006495594662867657,-0.007760300545220598,0.6323529411764706,272,272,2723
2016-03-31,-0.15109581068881847,0.024535781204379565,0.0993292885120438,-0.07479350730766424,-0.07600518613978102,0.6058394160583942,274,274,2741
2016-04-30,0.06731827553515435,0.01096297862109091,0.0019486463454545474,0.009014332275636363,0.007865241366545454,0.5745454545454545,275,275,2751
2016-05-31,0.059217357420014334,0.00041431594525547373,0.006683132606569342,-0.006268816661313868,-0.00732721082189781,0.5291970802919708,274,274,2742
2016-06-30,0.07970517875987616,0.061641896604014604,0.057740201175912415,0.0039016954281021893,0.002836001997445255,0.5328467153284672,274,274,2743
2016-07-31,-0.02622803091476335,0.01066786116109091,0.020702802161454543,-0.010034941000363633,-0.011267668273090906,0.6163636363636364,275,275,2757
2016-08-31,-0.04562799002368132,0.010473951554945054,0.03619560718937729,-0.025721655634432235,-0.02683887175164835,0.5586080586080586,273,273,2737
2016-09-30,0.10029886437440148,-0.0179011930003663,-0.06307526554212455,0.045174072541758245,0.0440275523952381,0.5732600732600732,273,273,2739
2016-10-31,-0.04618860226425832,0.10182882685919117,0.09779333142205882,0.004035495437132358,0.0028296130841911817,0.6029411764705883,272,272,2728
2016-11-30,-0.04071174148920301,0.03589107279233577,0.022862043431386862,0.013029029360948907,0.011718810382846718,0.6551094890510949,274,274,2740
2016-12-31,0.14223945472804495,0.031279844097069597,-0.00046838539633699673,0.031748229493406596,0.030484493229670333,0.6318681318681318,273,273,2737
2017-01-31,0.06150211072620741,0.015486994255109491,0.01592448355,-0.0004374892948905088,-0.0017440586379562023,0.6532846715328468,274,274,2749
2017-02-28,0.07816038786629043,0.01131753660839416,-0.0015280302850364973,0.012845566893430657,0.011663085141605838,0.5912408759124088,274,274,2745
2017-03-31,0.04898414115587377,0.015484027564468865,-0.008118852065567766,0.02360287963003663,0.0224710114981685,0.5659340659340659,273,273,2733
2017-04-30,-0.0004969180035529395,-0.02951544470588235,-0.028752109975,-0.0007633347308823521,-0.0019912759073529404,0.6139705882352942,272,272,2727
2017-05-31,0.04442946125871098,0.042568126040590404,0.04059482801623616,0.001973298024354246,0.000807246363837641,0.5830258302583026,271,271,2713
2017-06-30,0.10148915519728817,0.025245781992619922,-0.0001934877546125483,0.02543926974723247,0.024299048345018448,0.570110701107011,271,271,2710
2017-07-31,0.020909762071568624,-0.017631828888888892,0.006434635215925925,-0.024066464104814816,-0.025314612252962963,0.624074074074074,270,270,2705
2017-08-31,0.07390923034275396,0.06332591158656715,0.05750799520373134,0.005817916382835818,0.004620155188805967,0.5988805970149254,268,268,2684
2017-09-30,0.0846580183055758,0.00790860300783582,-0.005068886828358209,0.012977489836194029,0.01177972864216418,0.5988805970149254,268,268,2683
2017-10-31,0.041065820170193605,0.0364391440340824,0.027358917719850183,0.00908022631423222,0.007866743168164804,0.6067415730337079,267,267,2672
2017-11-30,0.05642939048300483,0.011700897177985075,0.011458529193283586,0.00024236798470148903,-0.0009330051496268693,0.5876865671641791,268,268,2683
2017-12-31,0.08650410283968972,0.025045597852985074,0.029413044748507464,-0.004367446895522389,-0.005531626000000001,0.5820895522388059,268,268,2681
2018-01-31,-0.031354212648198355,-0.05301247283320895,-0.0517778809585821,-0.0012345918746268503,-0.002480860531343268,0.6231343283582089,268,268,2683
2018-02-28,-0.02609185890839584,0.0017481274666666666,0.006215449223220975,-0.004467321756554309,-0.005590917262172286,0.5617977528089888,267,267,2676
2018-03-31,-0.07466354759571008,0.00764840129924812,0.024174546968796992,-0.016526145669548874,-0.017608852436466167,0.5413533834586466,266,266,2660
2018-04-30,-0.0833501576514792,0.025596333893632958,0.053218739857677895,-0.027622405964044937,-0.028839634428464413,0.6086142322097379,267,267,2670
2018-05-31,-0.028183096246370096,-0.00320331765318352,0.006631678985018728,-0.009834996638202248,-0.010954846825468167,0.5599250936329587,267,267,2675
2018-06-30,0.17885424945884815,0.035186973999999996,-0.003067532477902622,0.03825450647790262,0.03710094842546816,0.5767790262172285,267,267,2671
2018-07-31,-0.014111520697413988,0.024458348269172932,0.042607697134962395,-0.018149348865789464,-0.019416266159022547,0.6334586466165413,266,266,2660
2018-08-31,0.04095902450847311,-0.01942294805207547,-0.026262853413207544,0.0068399053611320725,0.005685188379999997,0.5773584905660378,265,265,2651
2018-09-30,0.07376974044155932,-0.07768095262121211,-0.11964900153219697,0.041968048910984865,0.040911230729166685,0.5284090909090908,264,264,2646
2018-10-31,0.0379816134867789,0.011299162009615385,-0.01852044564653846,0.029819607656153845,0.02864268457923077,0.5884615384615384,260,260,2607
2018-11-30,0.02424434113342618,-0.10565923201744187,-0.11426703442403101,0.008607802406589135,0.007398500081007739,0.6046511627906976,258,258,2580
2018-12-31,0.2018462787464596,0.14162047437142858,0.08526941902142857,0.05635105535000001,0.055220102969047634,0.5654761904761905,252,252,2527
2019-01-31,-0.01618940398337548,0.0452006082317647,0.05057011276941177,-0.00536950453764707,-0.006773426106274521,0.7019607843137254,255,255,2555
2019-02-28,0.13087504490256174,-0.01341379869764706,-0.032289700741176465,0.018875902043529406,0.017648451063137248,0.6137254901960785,255,255,2557
2019-03-31,0.12406904126109877,0.037166762310588235,0.005277655849019608,0.031889106461568624,0.03072047901058823,0.5843137254901961,255,255,2551
2019-04-30,0.05163509075243511,-0.0894167888448819,-0.0744006837940945,-0.015016105050787404,-0.016311380641338587,0.6476377952755906,254,254,2548
2019-05-31,0.12418789867686299,0.07357229071912351,0.04370816673585658,0.029864123983266933,0.028652968604780876,0.6055776892430278,251,251,2517
2019-06-30,0.07667444522989798,0.0060901374400634915,-0.019152208113492063,0.025242345553555555,0.024123297934507935,0.5595238095238095,252,252,2528
2019-07-31,0.056977990101855044,-0.055489927970916335,-0.062272001718725094,0.006782073747808759,0.005590838688047803,0.595617529880478,251,251,2517
2019-08-31,0.17785733611632246,0.060477452938554215,0.007885135274297187,0.052592317664257024,0.051459787543775094,0.5662650602409639,249,249,2495
