feature,category,gain_mean,gain_std,gain_norm_mean,weight_mean,cover_mean,pct_years_active,mean_rank,std_rank
ret_48_12,Momentum,1.9040819274054634,0.22268605018991425,0.0021949640076573667,10.8,105636.14926215277,0.375,214.2,39.9592649725049
aliq_at,Other,1.9004417250299046,0.6192392557144067,0.0026246829761497332,8.572649572649572,79256.88234039047,0.975,149.10256410256412,63.10842585824013
saleq_su,Other,1.9001895340662156,0.25156928916137006,0.0021982981712943238,9.634920634920634,136224.29264322916,0.525,191.8095238095238,40.895744335589555
rec_turnover,Other,1.9000911068271946,0.4020802279772556,0.0028502345737616433,11.063063063063062,68541.11564127603,0.925,159.32432432432432,74.66594272493319
ret_18_1,Momentum,1.8971683388357763,0.4232970339153564,0.0026216765979895865,29.873873873873872,149594.11394108954,0.925,150.13513513513513,39.79961066403802
ni_gr1a,Other,1.895168485244115,0.4877531382402236,0.002631205515949887,8.533333333333333,89792.10539754233,1.0,174.225,51.54012004602798
ocf_gr3a,Other,1.8927929728638893,0.28664900861413506,0.0021528978110163352,5.2745098039215685,72839.62320006128,0.425,206.23529411764707,47.420366684269624
ret_36_1,Momentum,1.891181182861328,0.497162058689047,0.0022209575189939003,7.68,83670.05669270833,0.625,196.28,53.37174658312519
ope_be,Other,1.886576222558307,0.7412081230828974,0.0026508872014856487,4.478632478632479,36842.02375258747,0.975,167.0,75.89501058422054
sale_emp,Other,1.8857137142566212,0.3260600697970271,0.00268169366589125,15.771929824561404,161168.61513479133,0.95,157.39473684210526,43.53100136292073
ope_bel1,Other,1.8856641818315556,0.8626662897753964,0.0026242940959199717,4.871794871794871,34497.12505634014,0.975,167.51282051282053,85.57571956272093
fincf_gr3a,Other,1.8817961304276076,0.46387864203395507,0.0021903157220093555,3.814814814814815,36176.24742974175,0.225,226.11111111111111,62.774287021925716
fnl_gr3a,Other,1.8785226941108704,0.36307070308730166,0.0021858800171542852,4.75,66003.57954101563,0.5,194.05,63.8101419096237
div_gr3a,Value,1.871603762894346,0.26394985643540486,0.0021545398621657685,6.526315789473684,133058.49577251234,0.475,219.3684210526316,55.713763037627125
oaccruals_ni,Other,1.8709130545457202,0.48078538710966195,0.0025829181036843797,4.108333333333333,31351.651565742493,1.0,163.225,67.42611816096495
sale_nwc,Other,1.8686531473670087,0.3615245975148473,0.0027705946004642633,5.885964912280701,53939.7006864715,0.95,163.55263157894737,78.27073505379005
capx_at,Other,1.864933629321237,0.4484245391849989,0.0026525259289363976,7.213675213675213,45166.633843315976,0.975,149.30769230769232,46.990006690198925
div_at,Value,1.8619772980610532,0.5006837385237258,0.0026193891338339623,7.316666666666667,50958.411546834315,1.0,174.925,59.99802881377406
gp_atl1,Quality,1.859044972062111,0.4636131426547862,0.002676656511631215,5.125,95911.56278737387,1.0,161.225,71.82331865462709
nwc_at,Other,1.8576937873139339,0.3935704341227242,0.002666144247518554,6.0085470085470085,50696.13804483006,0.975,156.87179487179486,64.10114519347302
ebit_at,Other,1.8568215590936166,0.914500754092862,0.002707484995691489,2.388888888888889,45572.37477846499,0.9,175.55555555555554,98.91683214973921
profit_cl,Other,1.8565989081506378,0.8019806450276933,0.002549012731306703,4.62037037037037,87560.93564803511,0.9,171.05555555555554,79.19377480745547
coskew_21d,Other,1.8502098369598388,0.3503778183849152,0.002346708703624876,13.893333333333333,144672.5148046875,0.625,197.36,56.93628017354137
beta_21d,Risk,1.8475862714065903,0.4607706568181901,0.0022601275451748486,13.011494252873563,62668.70985991379,0.725,211.0,41.1243758094185
dolvol_var_126d,Momentum,1.8422596518711378,0.3198837050561054,0.002472014588061858,8.311827956989248,54854.18205015121,0.775,178.2258064516129,65.70119718717429
ebit_bev,Other,1.8372970679858782,1.2975072654364952,0.0027806940722759645,2.936936936936937,28717.267684249196,0.925,192.8918918918919,91.42841273179064
col_gr1a,Other,1.833691854762216,0.3834958548850511,0.0025715090280541255,10.675213675213675,108290.95116665833,0.975,158.5897435897436,35.918561356665215
capx_gr2,Other,1.8321689234839547,0.20396978365720717,0.002162961470487308,7.222222222222222,90984.83704969619,0.3,226.5,59.11237372388904
netis_gr3a,Other,1.8287420184523973,0.24788841062917064,0.002151433651204978,5.296296296296296,60690.6119429977,0.225,217.55555555555554,68.92588612254309
lti_gr3a,Other,1.820377570611459,0.15110637606404465,0.0021317487178859444,5.592592592592593,85718.47207528574,0.225,229.22222222222223,34.67628071815725
qmj_safety,Quality,1.8200642826320887,0.31580736237356316,0.002633608105843635,7.513513513513513,75803.92712732263,0.925,167.0810810810811,50.629031185662626
age,Other,1.8185510168472927,0.35419032843701187,0.0025367429298978877,12.466666666666667,112746.14416198731,1.0,163.075,31.598756466930936
cash_mev,Other,1.8173777788877488,0.4185552636119497,0.002521376944540615,5.091666666666667,61082.00490557352,1.0,182.0,54.30634849793794
dgp_dsale,Other,1.8132592042287192,0.4478617894893214,0.002275668899613131,11.379310344827585,170479.86731658585,0.725,215.93103448275863,45.91990778556162
